match,red_win,red_climb_l3_any,red_climb_l2_count,red_climb_l1_count,red_auto_count,red_auto_align_sum,red_depot_sum,red_outpost_sum,red_under_trench_sum,red_over_bump_sum,red_fuel_scorer_count,red_driver_hours_sum,red_driver_hours_max,red_build_quality_mean,blue_climb_l3_any,blue_climb_l2_count,blue_climb_l1_count,blue_auto_count,blue_auto_align_sum,blue_depot_sum,blue_outpost_sum,blue_under_trench_sum,blue_over_bump_sum,blue_fuel_scorer_count,blue_driver_hours_sum,blue_driver_hours_max,blue_build_quality_mean,delta_climb_l3_any,delta_climb_l2_count,delta_climb_l1_count,delta_auto_count,delta_auto_align_sum,delta_depot_sum,delta_outpost_sum,delta_under_trench_sum,delta_over_bump_sum,delta_fuel_scorer_count,delta_driver_hours_sum,delta_driver_hours_max,delta_build_quality_mean
33,1,0,0,2,2,2,0,0,0,3,1,60,50,7,0,0,1,2,1,0,0,1,2,1,36,32,6.333,0,0,1,0,1,0,0,-1,1,0,24,18,0.667
34,0,0,0,1,3,2,0,0,2,3,1,140,70,30,1,1,1,2,2,1,0,3,3,0,540,500,6,-1,-1,0,1,0,-1,0,-1,0,1,-400,-430,24
35,0,0,0,2,3,1,1,1,1,2,2,33,20,7.333,0,0,0,3,1,1,2,2,3,2,34,25,7.667,0,0,2,0,0,0,-1,-1,-1,0,-1,-5,-0.334
36,1,0,1,1,2,2,0,0,2,3,1,1,1,7,0,0,2,3,2,2,2,1,3,1,23,18,6.667,0,1,-1,-1,0,-2,-2,1,0,0,-22,-17,0.333
37,0,0,0,0,2,1,0,0,2,3,1,485,475,6,0,1,0,2,2,0,0,2,3,1,250,200,7.333,0,-1,0,0,-1,0,0,0,0,0,235,275,-1.333
38,0,0,0,0,2,1,0,0,2,2,2,100,70,30,0,0,2,3,1,0,0,1,2,1,130,100,7,0,0,-2,-1,0,0,0,1,0,1,-30,-30,23
39,1,0,0,1,3,2,1,1,3,3,0,78,60,30.667,0,0,1,2,0,1,2,1,3,2,9,5,7,0,0,0,1,2,0,-1,2,0,-2,69,55,23.667
40,1,0,0,2,3,1,1,0,2,2,1,37,32,5.667,0,0,0,2,2,0,0,2,3,1,44,40,8,0,0,2,1,-1,1,0,0,-1,0,-7,-8,-2.333
41,0,0,1,1,2,1,0,0,1,3,2,210,200,5.333,0,0,0,3,2,0,0,1,3,2,138,100,7.333,0,1,1,-1,-1,0,0,0,0,0,72,100,-2
42,0,0,0,0,2,1,0,1,2,2,1,510,475,30.667,1,1,1,3,3,1,0,2,3,1,520,500,8.667,-1,-1,-1,-1,-2,-1,1,0,-1,0,-10,-25,22
43,1,0,0,1,3,3,1,1,2,3,3,145,70,7.333,0,1,2,2,1,0,0,0,3,0,21,10,6.333,0,-1,-1,1,2,1,1,2,0,3,124,60,1
44,0,0,0,0,3,2,0,0,3,3,0,45,40,6.667,0,0,1,3,0,0,1,0,3,2,114,100,7,0,0,-1,0,2,0,-1,3,0,-2,-69,-60,-0.333
45,0,0,0,1,3,2,0,0,3,2,2,20,20,7.333,0,0,1,2,1,1,1,1,3,2,480,475,7.667,0,0,0,1,1,-1,-1,2,-1,0,-460,-455,-0.334
46,1,0,1,2,2,2,2,1,1,3,2,26,25,7.667,0,0,0,2,2,0,1,1,3,0,65,60,30.333,0,1,2,0,0,2,0,0,0,2,-39,-35,-22.666
47,0,0,1,0,1,0,0,0,1,2,2,234,200,31,0,0,1,3,2,0,0,1,3,1,90,50,6.667,0,1,-1,-2,-2,0,0,0,-1,1,144,150,24.333
48,1,1,1,2,3,2,1,0,2,2,1,540,500,6.333,0,0,1,2,1,1,1,3,3,0,38,20,5,1,1,1,1,1,0,-1,-1,-1,1,502,480,1.333
49,0,0,0,0,2,2,0,0,1,3,1,40,40,6.667,0,1,2,2,0,1,1,1,3,1,11,5,7.667,0,-1,-2,0,2,-1,-1,0,0,0,29,35,-1
50,0,0,0,0,2,0,0,0,0,3,1,114,100,5.667,0,0,0,2,2,0,0,3,3,1,535,475,30.333,0,0,0,0,-2,0,0,-3,0,0,-421,-375,-24.666
51,1,0,0,1,3,3,0,1,0,3,1,23,10,7.333,0,0,1,3,1,0,0,3,1,1,62,32,30,0,0,0,0,2,0,1,-3,2,0,-39,-22,-22.667
52,1,0,0,1,2,1,0,0,2,3,0,40,30,4.667,0,0,1,3,2,1,1,1,3,2,24,20,8.667,0,0,0,-1,-1,-1,-1,1,0,-2,16,10,-4
53,1,0,1,0,2,2,1,1,2,3,3,225,200,7.667,0,0,2,3,1,1,1,3,2,1,108,70,5.667,0,1,-2,-1,1,0,0,-1,1,2,117,130,2
54,0,1,1,2,3,2,2,1,2,3,1,505,500,8.333,0,0,2,3,2,0,0,2,2,2,82,50,6,1,1,0,0,0,2,1,0,1,-1,423,450,2.333
55,1,0,0,0,2,2,0,0,2,3,1,68,60,29.667,0,0,0,1,0,0,1,1,3,1,479,475,6.333,0,0,0,1,2,0,-1,1,0,0,-411,-415,23.334
56,1,0,0,1,3,2,1,1,3,3,1,48,30,7.667,0,0,0,3,3,0,1,2,3,1,115,70,6.667,0,0,1,0,-1,1,0,1,0,0,-67,-40,1
57,0,0,0,1,3,0,0,0,2,2,0,35,20,5,0,1,1,2,2,0,0,0,3,2,210,200,7.667,0,-1,0,1,-2,0,0,2,-1,-2,-175,-180,-2.667
58,0,0,0,0,3,2,1,1,3,2,2,75,30,31.667,1,1,3,3,2,2,0,1,3,1,510,500,7,-1,-1,-3,0,0,-1,1,2,-1,1,-435,-470,24.667
59,1,0,0,2,2,1,1,1,0,3,2,59,50,8.333,0,1,1,1,0,0,0,1,3,1,576,475,6.667,0,-1,1,1,1,1,1,-1,0,1,-517,-425,1.666
60,0,0,0,1,3,2,0,0,3,2,0,122,60,30.333,0,0,0,3,3,0,0,2,3,2,8,8,8,0,0,1,0,-1,0,0,1,-1,-2,114,52,22.333
61,0,0,0,1,3,2,0,1,2,2,0,45,20,7,0,0,2,3,2,0,0,1,3,0,60,40,6.333,0,0,-1,0,0,0,1,1,-1,0,-15,-20,0.667
62,0,0,0,0,2,0,0,0,3,2,1,35,30,29.333,0,2,2,1,1,0,0,0,3,2,251,200,7.667,0,-2,-2,1,-1,0,0,3,-1,-1,-216,-170,21.666
63,1,0,0,0,3,2,0,1,1,3,3,74,70,8.333,0,0,1,2,2,1,0,1,3,2,4,4,7,0,0,-1,1,0,-1,1,0,0,1,70,66,1.333
64,1,1,1,1,2,1,1,0,1,3,1,600,500,6.667,0,0,1,3,1,2,2,2,3,1,53,25,5,1,1,0,-1,0,-1,-2,-1,0,0,547,475,1.667
